"","minpts","eps","eps2","id","f_measure"
"1",5,1,30,"AB_1",0.606217616580311
"2",10,1,30,"AB_1",0.508670520231214
"3",15,1,30,"AB_1",0.426829268292683
"4",20,1,30,"AB_1",0
"5",25,1,30,"AB_1",0
"6",30,1,30,"AB_1",0
"7",5,1.75,30,"AB_1",0.641758241758242
"8",10,1.75,30,"AB_1",0.642105263157895
"9",15,1.75,30,"AB_1",0.594005449591281
"10",20,1.75,30,"AB_1",0.550561797752809
"11",25,1.75,30,"AB_1",0.214532871972318
"12",30,1.75,30,"AB_1",0
"13",5,2.5,30,"AB_1",0.634862385321101
"14",10,2.5,30,"AB_1",0.683291770573566
"15",15,2.5,30,"AB_1",0.6
"16",20,2.5,30,"AB_1",0.6
"17",25,2.5,30,"AB_1",0.511494252873563
"18",30,2.5,30,"AB_1",0.467455621301775
"19",5,3.25,30,"AB_1",0.483516483516484
"20",10,3.25,30,"AB_1",0.658932714617169
"21",15,3.25,30,"AB_1",0.693467336683417
"22",20,3.25,30,"AB_1",0.6
"23",25,3.25,30,"AB_1",0.544943820224719
"24",30,3.25,30,"AB_1",0.489795918367347
"25",5,4,30,"AB_1",0.457038391224863
"26",10,4,30,"AB_1",0.665245202558635
"27",15,4,30,"AB_1",0.697560975609756
"28",20,4,30,"AB_1",0.683544303797468
"29",25,4,30,"AB_1",0.544943820224719
"30",30,4,30,"AB_1",0.52
"31",5,4.75,30,"AB_1",0.447735191637631
"32",10,4.75,30,"AB_1",0.658959537572254
"33",15,4.75,30,"AB_1",0.699029126213592
"34",20,4.75,30,"AB_1",0.700980392156863
"35",25,4.75,30,"AB_1",0.649616368286445
"36",30,4.75,30,"AB_1",0.522727272727273
"37",5,1,60,"AB_1",0.61381074168798
"38",10,1,60,"AB_1",0.526912181303116
"39",15,1,60,"AB_1",0.435045317220544
"40",20,1,60,"AB_1",0.143884892086331
"41",25,1,60,"AB_1",0
"42",30,1,60,"AB_1",0
"43",5,1.75,60,"AB_1",0.646288209606987
"44",10,1.75,60,"AB_1",0.642297650130548
"45",15,1.75,60,"AB_1",0.598382749326146
"46",20,1.75,60,"AB_1",0.571428571428571
"47",25,1.75,60,"AB_1",0.444444444444444
"48",30,1.75,60,"AB_1",0
"49",5,2.5,60,"AB_1",0.63752276867031
"50",10,2.5,60,"AB_1",0.683168316831683
"51",15,2.5,60,"AB_1",0.602150537634409
"52",20,2.5,60,"AB_1",0.598382749326146
"53",25,2.5,60,"AB_1",0.514285714285714
"54",30,2.5,60,"AB_1",0.510028653295129
"55",5,3.25,60,"AB_1",0.482985729967069
"56",10,3.25,60,"AB_1",0.657407407407407
"57",15,3.25,60,"AB_1",0.699751861042184
"58",20,3.25,60,"AB_1",0.608
"59",25,3.25,60,"AB_1",0.602150537634409
"60",30,3.25,60,"AB_1",0.567493112947658
"61",5,4,60,"AB_1",0.456204379562044
"62",10,4,60,"AB_1",0.669491525423729
"63",15,4,60,"AB_1",0.699029126213592
"64",20,4,60,"AB_1",0.699507389162562
"65",25,4,60,"AB_1",0.608
"66",30,4,60,"AB_1",0.60427807486631
"67",5,4.75,60,"AB_1",0.447735191637631
"68",10,4.75,60,"AB_1",0.66412213740458
"69",15,4.75,60,"AB_1",0.698795180722892
"70",20,4.75,60,"AB_1",0.702179176755448
"71",25,4.75,60,"AB_1",0.697560975609756
"72",30,4.75,60,"AB_1",0.689655172413793
"73",5,1,90,"AB_1",0.620865139949109
"74",10,1,90,"AB_1",0.531073446327684
"75",15,1,90,"AB_1",0.439759036144578
"76",20,1,90,"AB_1",0.143884892086331
"77",25,1,90,"AB_1",0
"78",30,1,90,"AB_1",0
"79",5,1.75,90,"AB_1",0.655097613882863
"80",10,1.75,90,"AB_1",0.652849740932642
"81",15,1.75,90,"AB_1",0.602150537634409
"82",20,1.75,90,"AB_1",0.575342465753425
"83",25,1.75,90,"AB_1",0.444444444444444
"84",30,1.75,90,"AB_1",0
"85",5,2.5,90,"AB_1",0.642468239564428
"86",10,2.5,90,"AB_1",0.692874692874693
"87",15,2.5,90,"AB_1",0.611702127659574
"88",20,2.5,90,"AB_1",0.609625668449198
"89",25,2.5,90,"AB_1",0.609625668449198
"90",30,2.5,90,"AB_1",0.609625668449198
"91",5,3.25,90,"AB_1",0.482456140350877
"92",10,3.25,90,"AB_1",0.678815489749431
"93",15,3.25,90,"AB_1",0.70935960591133
"94",20,3.25,90,"AB_1",0.619047619047619
"95",25,3.25,90,"AB_1",0.619047619047619
"96",30,3.25,90,"AB_1",0.615384615384615
"97",5,4,90,"AB_1",0.456204379562044
"98",10,4,90,"AB_1",0.69022869022869
"99",15,4,90,"AB_1",0.71462829736211
"100",20,4,90,"AB_1",0.712195121951219
"101",25,4,90,"AB_1",0.626315789473684
"102",30,4,90,"AB_1",0.626315789473684
"103",5,4.75,90,"AB_1",0.447735191637631
"104",10,4.75,90,"AB_1",0.66412213740458
"105",15,4.75,90,"AB_1",0.73536299765808
"106",20,4.75,90,"AB_1",0.720763723150358
"107",25,4.75,90,"AB_1",0.719424460431655
"108",30,4.75,90,"AB_1",0.70873786407767
"109",5,1,120,"AB_1",0.620865139949109
"110",10,1,120,"AB_1",0.531073446327684
"111",15,1,120,"AB_1",0.439759036144578
"112",20,1,120,"AB_1",0.143884892086331
"113",25,1,120,"AB_1",0
"114",30,1,120,"AB_1",0
"115",5,1.75,120,"AB_1",0.655097613882863
"116",10,1.75,120,"AB_1",0.652849740932642
"117",15,1.75,120,"AB_1",0.602150537634409
"118",20,1.75,120,"AB_1",0.575342465753425
"119",25,1.75,120,"AB_1",0.444444444444444
"120",30,1.75,120,"AB_1",0
"121",5,2.5,120,"AB_1",0.642468239564428
"122",10,2.5,120,"AB_1",0.696078431372549
"123",15,2.5,120,"AB_1",0.611702127659574
"124",20,2.5,120,"AB_1",0.609625668449198
"125",25,2.5,120,"AB_1",0.609625668449198
"126",30,2.5,120,"AB_1",0.609625668449198
"127",5,3.25,120,"AB_1",0.482456140350877
"128",10,3.25,120,"AB_1",0.678815489749431
"129",15,3.25,120,"AB_1",0.712530712530713
"130",20,3.25,120,"AB_1",0.619047619047619
"131",25,3.25,120,"AB_1",0.619047619047619
